id,en,fr,ja
Your shots did not produce anything useful,Your shots did not produce anything useful,Le bombardement a échoué,何も取れなかった
Cooling reactor (wait),Cooling reactor (wait),Réacteur stabilisé (Attendre 1 tour),一度待つ
[color=yellow]You do %d damage[/color],[color=yellow]You do %d damage[/color],[color=yellow]Le tir fait %d de dommage[/color],[color=yellow]%d ダメージに打つった[/color]
[color=red]You take %d damage[/color],[color=red]You take %d damage[/color],[color=red]Nous avons reçu %d de dommage[/color],[color=red]%d ダメージが貰った[/color]
[color=red]You destroy the enemy ![/color],[color=red]You destroy the enemy ![/color],[color=red]Vous avez détruit l'ennemi ![/color],[color=red]敵が倒れた！[/color]
Ship in range of %s,Ship in range of %s,Nous survolons un %s,%sが近くに通る
Multiple Objects Detected,Multiple Objects Detected,Plusieurs Objects,色々な物
There's nothing there sir...,There's nothing there sir...,Il n'y a rien ici...,ここは何も無い...
Target is outside of our range sir !,Target is outside of our range sir !,La cible est hors de porté Commandant !,届かない船長！
Scanners have discovered an Anomaly close by,Scanners have discovered an Anomaly close by,Le radar à détecté une anomalie dans les environs,異常発見
Select area to scan...,Select area to scan...,Sélectionnez une région…,どこ？
Which ship should we transfer control ?,Which ship should we transfer control ?,Quel vaisseau voulez-vous prendre contrôle?,戦艦を選ぶ
Take from what ?,Take from what ?,Prendre d’où?,どこから取る？
Production sucessful,Production sucessful,Production réussi,Production sucessful
Missing resources,Missing resources,Ressource manquante,Missing resources
Not enough energy,Not enough energy,Pas assez d’énergie,Not enough energy
Crafting failed,Crafting failed,Production échoué,Crafting failed
The Converter of Yendor uses the energy of the wormhole itself to rip a hole trough space. You spool up the engines and glide through it. On the other side HOME is waiting ! You made it !,The Converter of Yendor uses the energy of the wormhole itself to rip a hole trough space. You spool up the engines and glide through it. On the other side HOME is waiting ! You made it !,"Le convertisseur de Yendor assimile l’énergie du trou noir lui-même et ouvre une brèche dans l’espace. Sans hésiter, vous engagé les réacteurs. De l’autre côté, un monde familié vous attend, vous avez réussi, vous êtes enfin chez vous !",The Converter of Yendor uses the energy of the wormhole itself to rip a hole trough space. You spool up the engines and glide through it. On the other side HOME is waiting ! You made it !
The Converter of Yendor will not work unless it is mounted on the ship !,The Converter of Yendor will not work unless it is mounted on the ship !,Le convertisseur de Yendor doit être monté sur le vaisseau!,The Converter of Yendor will not work unless it is mounted on the ship !
